【#浙江宁波新增7例确诊#】浙江省宁波市通报：今天上午，宁波市北仑区通报1例新冠肺炎确诊病例以来，北仑区启动了大规模核酸检测工作。截至22时，北仑区又检出阳性感染者6例，均为在封控区内主动筛查发现，已被诊断为新冠肺炎确诊病例（轻型）。至此，宁波北仑本轮疫情已累计报告7例确诊病例。?展开全文c,国家应急广播,01月01日22:56?来自微博weibo.com,https://weibo.com/3349909324?refer_flag=1001030103_,4.72096E+15,3349909324,刚才不是还6吗。怎么变7了,2022/1/1 22:58,995未来可期
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,新年快乐！希望新年能经常能读到你的文章。,01月01日 23:02,57楚江
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,新年快乐???,01月02日 21:55,心闲日长
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,新年快乐,01月02日 14:42,夏梦琬珺
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,老师好！和您是一样的心情，大气候所限，现在只有靠着翻看以前旅行的照片，回味旅行的美好,01月10日 16:44,张秦棋
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,与自己和解，过好自己的日子，谁先觉悟，谁先得到幸福。,01月06日 08:25,悠然札记
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,新年快乐！,01月01日 23:41,湖心如月2013
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,,01月01日 23:21,池荷想月
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,新年快乐,01月01日 23:20,池荷想月
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,新年快乐！[鲜花]希望新年能经常能读到你的文章。[作揖],2022/1/1 23:02,57楚江
2022年1月1日认命是一种觉悟！站在这个如此美好的字眼面前，一个个明天像跳动的音符，熠熠闪光令人充满遐想，虽然已经过了六十岁，好奇的心一如从前的那个少年，没有被岁月磨损丝毫。转过头回望，往事如调皮的孩童躲藏在虚掩的大门之后。搁笔一年半有余，过去的一年里你都做了些什么？猛?展开全文c,秋水自若,01月01日22:54?来自nova8我由我掌镜,https://weibo.com/2683475213?refer_flag=1001030103_,4.72096E+15,2683475213,新年快乐???,2022/1/2 21:55,心闲日长
