病毒为什么会在市场中爆发，非典和新冠肺炎所发生的节点都认为是动物传播，真正确认了吗？病毒对动物无伤害却对人致命伤害为什么？如何会变异成这样？这些疑问必须解开才行。基因战会是最低价的战争来毁灭一个种族，黑恶势力一个实验室就能做到，警惕吧，二十一世纪为什么大疫情都发生在中国？/?展开c,清风之唿,2020年02月02日06:58?来自HUAWEIMate9,https://weibo.com/3496452634?refer_flag=1001030103_,4.47E+15,3496452634,明白人,2020/2/2 7:10,Itsa傻傻的灰
#万众一心抗击新冠肺炎#全民战疫情！给营区和消防车消消毒，我们时刻守护你的平安！#火焰蓝守护平安#L浙江消防的微博视频???L浙江消防的微博视频?,遂川政法,2020年02月02日06:53?来自微博视频号,https://weibo.com/3361952722?refer_flag=1001030103_,4.47E+15,3361952722,回复@用户5711564140的表态:,2020年02月02日 16:02,遂川政法
#万众一心抗击新冠肺炎#全民战疫情！给营区和消防车消消毒，我们时刻守护你的平安！#火焰蓝守护平安#L浙江消防的微博视频???L浙江消防的微博视频?,遂川政法,2020年02月02日06:53?来自微博视频号,https://weibo.com/3361952722?refer_flag=1001030103_,4.47E+15,3361952722,回复@用户5711564140 的表态:[握手],2020/2/2 16:02,遂川政法
沙烨：关于新冠肺炎，该转变思路了为中小企业和经济状况呼吁的人们，首先应该一起来降低社会的恐慌情绪。经济是人和人之间的行为。在恐慌情绪下，人人自危，又如何开展经济活动？湖北之外的省份在春节后应尽快回到社会运作的正常状态中。湖北抓疫情...O沙烨：关于新冠肺炎，该转变思路了?,湖南省农科院,2020年02月02日06:50?来自分享按钮,https://weibo.com/7211090002?refer_flag=1001030103_,4.47E+15,7211090002,国家养老金不够了？,2020/2/2 7:09,90阿郎哥
#新冠肺炎最新动态#缓解新型冠状病毒疫情的心理压力第一招：保持生活的稳定性，适当的休息、活动、营养摄取，尽可能的维持生活作息的规律和稳定性，可是面对未知感和危急状况的必要条件！???,沈淑贞-亚示资深心理师,2020年02月02日06:50,https://weibo.com/7198478165?refer_flag=1001030103_,4.47E+15,7198478165,#新冠肺炎最新动态# 缓解新型冠状病毒疫情的心理压力第一招[good][good],2020/2/2 6:55,明德亚示国际糖尿病暨减重中心
#新冠肺炎最新动态#【湖北新增1921例，#湖北累计确诊9704例#】2020年2月1日0时-24时，湖北省新增新型冠状病毒感染的肺炎病例1921例（其中：武汉市894例、黄石市43例、十堰市35例、襄阳市94例、宜昌市77例、荆州市46例、荆门市78例、鄂州市51例、孝感市121例、黄冈市276例、咸宁市40例、随州市80例、恩?展开c,鞍山共青团,2020年02月02日06:48,https://weibo.com/2470643017?refer_flag=1001030103_,4.47E+15,2470643017,9074 和9704那个对的,2020/2/2 6:55,青梅绿茶201608
【#新冠肺炎患者粪便或存活病毒#专家：冲水时要盖好马桶盖】2月1日，深圳卫健委发布消息，研究者在新冠肺炎患者粪便中检测出2019-nCoV核酸阳性，很有可能提示粪便中有活病毒存在。冠状病毒研究专家称，从SARS经验看，若有活病毒存在，表示粪便具有传染性。他建议，冲水时要盖好马桶盖，避免粪便中的病?展开c,新浪海南,2020年02月02日06:48?来自微博视频号,https://weibo.com/2517950371?refer_flag=1001030103_,4.47E+15,2517950371,嗯,2020/2/2 8:54,梁九爷333
近日网傳益益乳业员确诊新冠肺炎导致封厂一事，經有关部门核实该信息系谣言。造谣者己被公安关依法拘留。目前益益乳品生产经營均正常，没有员工感染肺炎疾病。请大家不信谣言不传谣言，让谣言停止。麻烦大家不要再这样了啊！?,Sy_Jessicalee,2020年02月02日06:47?来自nova4自拍极点全面屏,https://weibo.com/5913777205?refer_flag=1001030103_,4.47E+15,5913777205,谣言停止啊！,2020/2/3 17:10,sy_Jessicalee工作室
【哈医大“人工肺”驰援！重症患者赢得治疗时间】#防控疫情我们共同努力##哈尔滨身边事#记者朱虹1月31日22时，省卫健委向哈医大一院发出紧急指令，哈尔滨市第六医院一例重症新冠肺炎患者血氧维持不住，马上需要ECMO（人工肺）治疗。由于病情危重，血氧维持不住，患者出现严重呼吸的衰竭，医用呼吸?展开c,哈尔滨日报,2020年02月02日06:47?来自iPhone客户端,https://weibo.com/1709951635?refer_flag=1001030103_,4.47E+15,1709951635,加油,2020/2/4 9:35,三水不书生
【哈医大“人工肺”驰援！重症患者赢得治疗时间】#防控疫情我们共同努力##哈尔滨身边事#记者朱虹1月31日22时，省卫健委向哈医大一院发出紧急指令，哈尔滨市第六医院一例重症新冠肺炎患者血氧维持不住，马上需要ECMO（人工肺）治疗。由于病情危重，血氧维持不住，患者出现严重呼吸的衰竭，医用呼吸?展开c,哈尔滨日报,2020年02月02日06:47?来自iPhone客户端,https://weibo.com/1709951635?refer_flag=1001030103_,4.47E+15,1709951635,加油,2020/2/2 8:53,悠一依依
新冠肺炎疫情过后，建议把华南海鲜市场原址建设中国武汉2019-nCoV病毒感染事件纪念馆，把事件案例展示出来，警示后人！！！?,岳北空间,2020年02月02日06:46?来自iPhone客户端,https://weibo.com/2264075610?refer_flag=1001030103_,4.47E+15,2264075610,@胡锡进疫情过后，建立一个新冠肺炎事件纪念馆吧，警示后人！！！,2020年02月07日 11:34,岳北空间
